condition,classifier,acc_mean,acc_sd,ifano_mean,ifano_sd,ixent_mean,ixent_sd
pooled,logreg,0.7307936507936509,0.005177621088984175,5.956193600283363,0.05550739742344489,7.321494099441305,0.029907633984911756
pooled,lda,0.7833333333333334,0.009642122253007902,6.531239450473658,0.10771394340808557,7.4394687114564615,0.11335050448171886
pooled,mlp,0.6996825396825397,0.01251454180598542,5.626041662959988,0.13171518293330636,7.390431599596086,0.09328918441110794
pooled,null_shuffled,0.0007936507936507937,,0.0003518002358884331,,-3.0144151725825754,
within_F,logreg,0.7630208333333334,0.019418074877403362,5.000803621803512,0.1803755860869227,5.934229373583751,0.06988902871989423
within_F,lda,0.7911458333333333,0.015041176123118385,5.264078684600823,0.14244267981068995,5.8186944346216745,0.10013442466081723
within_F,mlp,0.7213541666666667,0.017508058660387092,4.621042808081889,0.15649640807191242,5.97864035524836,0.08243349802127371
within_F,null_shuffled,0.0,,0.007533672685407389,,-3.6134453236072286,
within_M,logreg,0.7621004566210046,0.015942548173603726,5.897554546075385,0.16781347057239102,7.026564054721587,0.05323067678144785
within_M,lda,0.8027397260273974,0.011672897745355446,6.328729510394432,0.12619133566830434,7.106028000112997,0.1454345303983671
within_M,mlp,0.7410958904109589,0.015988256986311962,5.679693249797596,0.1650473926299339,7.196920554857236,0.0513675280071296
within_M,null_shuffled,0.001141552511415525,,0.0005063014460109372,,-3.362480458560242,
