feature,Fstar,ICC,sigma_b2,sigma_w2,n,S
F0,7.316827780761235,0.8797618483440004,0.8815567334043202,0.1204834608410865,4380,438
SHR,6.672233873575797,0.8696598648479508,0.8714160145775752,0.13060333781593964,4380,438
MFDR,4.282156496096317,0.8106833826792085,0.81222181060953,0.18967588208183528,4380,438
RMS,3.5096995660488597,0.778255738469039,0.7796805783175664,0.2221502335583992,4380,438
spectral_flux,3.2948042107850384,0.7671605151432009,0.7685474879900446,0.23326044244884772,4380,438
F4,3.1480265769382623,0.7589215060579194,0.760280688929644,0.24151025105673823,4380,438
IHI,2.707908093094526,0.7303061524468841,0.7315709944967906,0.27016093949509584,4380,438
CQ,2.4245649965885434,0.7079921096559206,0.7091857322258961,0.29250019414771217,4380,438
GCT,2.2130435387187775,0.6887686120808818,0.6899025279227945,0.3117437663798551,4380,438
CPP,1.3974510067505281,0.5828903292770992,0.5837227356181398,0.41770533120546494,4380,438
GNE,1.32098566060919,0.5691485660719121,0.5699452320161797,0.43145451840358506,4380,438
B2,1.2709513109103616,0.5596559049083586,0.5604283367778515,0.4409518539120322,4380,438
F5,1.1799782324946038,0.5412798233055406,0.5420063987732574,0.4593359299750778,4380,438
F3,1.1250508658305156,0.529423028841628,0.5301207557780113,0.4711971448390245,4380,438
B1,1.059100683851466,0.5143510913077162,0.515012984092589,0.48627386606882517,4380,438
B5,1.0300196410706273,0.507393928724452,0.5080395966373759,0.49323292137352565,4380,438
semitone_SD_F0,1.0103460369013924,0.5025731980244901,0.5032077405476608,0.49805484672453154,4380,438
LHR,0.9729118505045331,0.493134982313442,0.49374802062700357,0.5074951244256666,4380,438
B4,0.9209622928835546,0.47942757455228285,0.4800100358447613,0.5212048740256657,4380,438
SSPF,0.7958497850695555,0.4431605536755577,0.4436717081179062,0.5574817213516371,4125,438
VFI,0.7749952470409844,0.4366182097292624,0.40986562697524453,0.5288621169486597,4380,438
spectral_skewness,0.7623432835223021,0.4325736595418839,0.4330574542186162,0.5680609557124107,4380,438
B3,0.7509806106584299,0.42889144864718687,0.4293678727918149,0.5717429540762207,4380,438
spectral_entropy,0.663642517351589,0.3989093272321898,0.3993278176745452,0.6017212689568934,4380,438
SPI,0.6339573710184123,0.3879889293704643,0.38838723913781265,0.6126393617190588,4380,438
spectral_kurtosis,0.6063054687744414,0.3774534050718464,0.3778327112138033,0.6231721973043347,4380,438
jitter,0.5678542004742511,0.3621855911745392,0.36253816950346784,0.638435304697384,4380,438
speech_rate,0.5333535030308576,0.34783466563751947,0.3481629970151228,0.652780932414687,4380,438
Nasality,0.44187268126925877,0.30645748893743163,0.30672066068446197,0.694138093813406,4380,438
shimmer,0.43740476571465386,0.30430173612036376,0.30456170635103436,0.6962926109262347,4380,438
spectral_rolloff,0.4108936949680612,0.2912293792462959,0.2914703456609491,0.7093570654171393,4380,438
alpha_ratio,0.360026318179874,0.26472011119733185,0.2649247008702381,0.7358481519061564,4380,438
dCPP,0.3320793618724039,0.24929397705375814,0.24947873062342718,0.7512623766100989,4380,438
SQ,0.30600939432911667,0.2343087237027958,0.23447514637333353,0.7662351245372316,4380,438
F1,0.26312604853935967,0.20831337366815494,0.20845019030097478,0.7922065924605476,4380,438
AMD,0.2101784555322068,0.17367558856414733,0.17377727923092276,0.826808241553064,4380,438
F2,0.18325221198266745,0.1548716411656721,0.1549563309836127,0.8455905077875346,4380,438
VOT,0.09243591326749545,0.08461449513410628,0.08464934019053856,0.915762469350806,4204,438
NAQ,0.07751826397527538,0.07194148495384957,0.07196855488016302,0.9284077221223316,4380,438
BGD,0.04866497939294916,0.04640660301359576,0.04642162814116576,0.9539021431886513,4380,438
