k,feature_added,PR
1,F0,1.0
2,SHR,1.0521940848984341
3,IHI,1.1889319541006738
4,F4,1.3859278214268076
5,GCT,1.6234940233350628
6,MFDR,2.107645185471454
7,RMS,2.4951824397013382
8,F3,2.463524398318807
9,F5,2.469588968513537
10,spectral_flux,2.7103681825274935
11,B2,2.750950945609912
12,CQ,3.089703080663051
13,SSPF,3.0992539268206243
14,CPP,3.269435150472063
15,GNE,3.568555708055256
16,B1,3.8614107793775414
17,SPI,3.8597973933460614
18,B3,4.103734051288768
19,F1,3.970640219545381
20,B5,4.305003568744956
21,LHR,4.668835527375011
22,spectral_entropy,4.794609465801958
23,B4,5.139279020440142
24,semitone_SD_F0,5.417808120731189
25,F2,5.201824725309674
26,SQ,5.37503990710114
27,spectral_skewness,5.639941124083145
28,Nasality,5.63376730301662
29,VFI(optC),5.7832434951788185
30,shimmer,5.752100397045793
31,jitter,5.917740999549146
32,spectral_kurtosis,6.114640253461045
33,speech_rate,6.419420105306809
34,spectral_rolloff,6.500981561916612
35,alpha_ratio,6.771567042597903
36,dCPP,7.001633668552014
37,AMD,7.296757114537162
38,NAQ,7.445827227149755
39,VOT,7.771498093408492
40,BGD,8.07368417621811
