condition,representation,PR,ci_lo,ci_hi,dim_90pct_var,dim_spectral_entropy,null_mean
pooled,optionC,8.073684176218112,7.671420443949447,8.385715790422909,18,15.086988035011684,11.848714612156787
pooled,optionB,8.231333358721502,7.815543045065871,8.553705035949003,18,15.368922745362076,11.848714612156787
pooled,exclude_vfp,7.9916216107988935,7.587398977050253,8.304095275902354,17,14.863224553577906,11.848714612156787
within_F,optionC,13.063738630125021,11.531694887100633,13.147300922160849,19,19.231781926157762,15.948284630092415
within_F,optionB,13.211236413887706,11.652742647397648,13.294455734894914,19,19.3894240821291,15.948284630092415
within_F,exclude_vfp,12.968271507786731,11.472418105256967,13.029316777735486,19,18.91955012452286,15.948284630092415
within_M,optionC,14.025882815656415,13.070466352797707,14.241879517137582,20,20.46062924470859,16.816638797249986
within_M,optionB,14.440981260676168,13.438751297788805,14.60723642340835,20,20.87339949889879,16.816638797249986
within_M,exclude_vfp,14.207075219942466,13.253784025466256,14.35419618312633,20,20.334713452836418,16.816638797249986
